ticker,name,market_cap,price,sector,market
NOTE,"FiscalNote Holdings, Inc.",73546624.0,187.60,Technology,OMX Stockholm
ORES,Investment AB Öresund (publ),5.37B,120.60,Unknown,OMX Stockholm
HEBA.B,Heba Fastighets AB (publ),5.24B,31.60,Unknown,OMX Stockholm
NYAB,Nyab AB (publ),5.15B,7.23,Unknown,OMX Stockholm
SUS,Surgical Science Sweden AB (publ),5.06B,99.10,Unknown,OMX Stockholm
RVRC,Revium Rx,31579130.0,46.50,Healthcare,OMX Stockholm
HANZA,Hanza AB (publ),4.97B,108.80,Unknown,OMX Stockholm
HTRO,Hexatronic Group AB (publ),4.86B,23.53,Unknown,OMX Stockholm
BHG,BHG Group AB (publ),4.75B,26.06,Unknown,OMX Stockholm
ENVIPO,Envipco Holding N.V.,4.75B,88.40,Unknown,OMX Stockholm
MEKO,Meko AB (publ),4.70B,83.20,Unknown,OMX Stockholm
VER,Verve Group SE,4.69B,23.80,Unknown,OMX Stockholm
INT,Intellego Technologies AB,4.66B,192.00,Unknown,OMX Stockholm
EAST,Eastnine AB (publ),4.64B,47.20,Unknown,OMX Stockholm
JOMA,John Mattson Fastighetsföretagen AB (publ),4.61B,60.80,Unknown,OMX Stockholm
LIME,Lime Energy Co.,4.59B,349.00,Unknown,OMX Stockholm
REJL.B,Rejlers AB (publ),4.55B,201.50,Unknown,OMX Stockholm
LINC,Lincoln Educational Services Corporation,604227648.0,78.90,Consumer Defensive,OMX Stockholm
MEDIO,Medistim ASA,4.53B,264.00,Unknown,OMX Stockholm
COOR,Coor Service Management Holding AB,4.49B,46.70,Unknown,OMX Stockholm
HAYPP,Haypp Group AB (publ),4.42B,143.00,Unknown,OMX Stockholm
ITAB,ITAB Shop Concept AB (publ),4.39B,17.20,Unknown,OMX Stockholm
DUNI,Duni AB (publ),4.33B,91.60,Unknown,OMX Stockholm
EPEN,2249,4.24B,132.00,Unknown,OMX Stockholm
CEVI,CellaVision AB,4.22B,177.00,Unknown,OMX Stockholm
KCCO,Klaveness Combination Carriers ASA,4.19B,74.10,Unknown,OMX Stockholm
SNM,ShaMaran Petroleum Corp.,4.17B,1.548,Unknown,OMX Stockholm
OVZON,Ovzon AB (publ),4.17B,36.35,Unknown,OMX Stockholm
PRISMA,Prisma Properties AB (publ),4.10B,24.95,Unknown,OMX Stockholm
NIVI.B,Nivika Fastigheter AB (publ),4.06B,42.65,Unknown,OMX Stockholm
SFAST,Stenhus Fastigheter i Norden AB (publ),4.02B,10.54,Unknown,OMX Stockholm
IDUN.B,Idun Industrier AB (publ),3.95B,345.00,Unknown,OMX Stockholm
BTS.B,BTS Group AB (publ),3.88B,200.00,Unknown,OMX Stockholm
KFAST.B,K-Fast Holding AB (publ),3.84B,15.88,Unknown,OMX Stockholm
BRIN.B,Brinova Fastigheter AB (publ),3.79B,16.45,Unknown,OMX Stockholm
TRAC.B,AB Traction,3.79B,258.00,Unknown,OMX Stockholm
KAMBI,Kambi Group plc,3.77B,134.90,Unknown,OMX Stockholm
BONAV.A,Bonava AB (publ),3.75B,11.80,Unknown,OMX Stockholm
BONAV.B,Bonava AB (publ),3.75B,11.54,Unknown,OMX Stockholm
XANO.B,XANO Industri AB (publ),3.69B,62.20,Unknown,OMX Stockholm
KARNEL.B,Karnell Group AB (publ),3.61B,68.70,Unknown,OMX Stockholm
HUMBLE,Humble Group AB (publ),3.55B,7.94,Unknown,OMX Stockholm
TRIAN.B,Fastighets AB Trianon (publ),3.47B,18.82,Unknown,OMX Stockholm
VIVA,Viva Wine Group AB,3.46B,38.70,Unknown,OMX Stockholm
BMAX,REX Bitcoin Corporate Treasury Convertible Bond ETF,3.41B,58.40,Unknown,OMX Stockholm
GREEN,Green Landscaping Group AB (publ),3.35B,58.50,Unknown,OMX Stockholm
VESTUM,Vestum AB (publ),3.33B,8.81,Unknown,OMX Stockholm
ACAST,Acast AB (publ),3.31B,18.30,Unknown,OMX Stockholm
NOBI,Nobia AB,3.19B,4.712,Unknown,OMX Stockholm
NPAPER,Nordic Paper Holding AB (publ),3.15B,46.60,Unknown,OMX Stockholm
FLERIE,Flerie AB (publ),3.13B,42.35,Unknown,OMX Stockholm
BRE2,Bredband2 i Skandinavien AB (publ),3.12B,3.265,Unknown,OMX Stockholm
VNV,4255,3.12B,23.14,Unknown,OMX Stockholm
KNOW,Fundamentals First ETF,3.02B,109.20,Unknown,OMX Stockholm
ABSO,Absolent Air Care Group AB (publ),2.89B,255.00,Unknown,OMX Stockholm
SVED.B,Svedbergs Group AB (publ),2.87B,52.70,Unknown,OMX Stockholm
CRNO.B,Cereno Scientific AB (publ),2.82B,10.20,Unknown,OMX Stockholm
CTT,CTT Systems AB (publ),2.81B,224.50,Unknown,OMX Stockholm
KBC,KB Components AB (publ),2.80B,49.60,Unknown,OMX Stockholm
CAT.B,Catalana Occidente Bolsa Espa,2.74B,30.35,Unknown,OMX Stockholm
CAT.A,Catella AB (publ),2.73B,31.20,Unknown,OMX Stockholm
SEYE,Smart Eye AB (publ),2.69B,77.15,Unknown,OMX Stockholm
HNSA,Hansa Biopharma AB (publ),2.68B,31.92,Unknown,OMX Stockholm
SF,Stifel Financial Corp.,11891915776.0,5.04,Financial Services,OMX Stockholm
VICO,Vicore Pharma Holding AB (publ),2.53B,10.88,Unknown,OMX Stockholm
DVYSR,Devyser Diagnostics AB (publ),2.53B,152.20,Unknown,OMX Stockholm
CINT,CI&T Inc.,730763968.0,7.09,Technology,OMX Stockholm
TEQ,Teqnion AB (publ),2.49B,146.40,Unknown,OMX Stockholm
KLARA.B,KlaraBo Sverige AB (publ),2.46B,16.00,Unknown,OMX Stockholm
PACT,716361,2.46B,92.40,Unknown,OMX Stockholm
FMM.B,FM Mattsson AB (publ),2.43B,57.20,Unknown,OMX Stockholm
NREST,Nordrest Holding AB (publ),2.43B,216.50,Unknown,OMX Stockholm
NELLY,Nelly Group AB (publ),2.42B,78.00,Unknown,OMX Stockholm
NEOBO,Neobo Fastigheter AB (publ),2.41B,16.38,Unknown,OMX Stockholm
EQL,ALPS Equal Sector Weight ETF,2.38B,83.00,Unknown,OMX Stockholm
BESQAB,Besqab AB (publ),2.35B,22.30,Unknown,OMX Stockholm
IAR.B,IAR Systems Group AB (publ),2.28B,178.40,Unknown,OMX Stockholm
GOMX,GomSpace Group AB (publ),2.21B,15.34,Unknown,OMX Stockholm
FLAT.B,Flat Capital AB (publ),2.19B,21.75,Unknown,OMX Stockholm
VEFAB,VEF AB (publ),2.19B,2.175,Unknown,OMX Stockholm
DUST,Direxion Daily Gold Miners Index Bear 2X Shares,233955024.0,1.607,Unknown,OMX Stockholm
LYKO.A,Lyko Group AB (publ),2.16B,141.00,Unknown,OMX Stockholm
ELAN.B,Elanders AB (publ),2.11B,55.70,Unknown,OMX Stockholm
BINV,Brandes International ETF,2.09B,31.75,Unknown,OMX Stockholm
AGROUP,Arlandastad Group AB (publ),2.09B,32.00,Unknown,OMX Stockholm
STIL,Stille AB,2.05B,235.00,Unknown,OMX Stockholm
KABE.B,KABE Group AB (publ.),2.03B,231.00,Unknown,OMX Stockholm
HUM,Humana Inc.,35801366528.0,40.50,Healthcare,OMX Stockholm
VERT.B,Vertiseit AB (publ),2.01B,69.60,Unknown,OMX Stockholm
CARA,Carasent AB (publ),1.99B,27.55,Unknown,OMX Stockholm
EWRK,Ework Group AB (publ),1.95B,113.20,Unknown,OMX Stockholm
AJA.B,Byggmästare Anders J Ahlström Holding AB (publ),1.95B,269.00,Unknown,OMX Stockholm
EXS,Exsitec Holding AB (publ),1.93B,143.50,Unknown,OMX Stockholm
GPG,Genova Property Group AB (publ),1.91B,41.90,Unknown,OMX Stockholm
EGTX,Egetis Therapeutics AB (publ),1.87B,5.20,Unknown,OMX Stockholm
SANION,Saniona AB (publ),1.86B,13.50,Unknown,OMX Stockholm
DICOT,Dicot Pharma AB,1.79B,0.893,Unknown,OMX Stockholm
FG,"F&G Annuities & Life, Inc.",4631925760.0,31.55,Financial Services,OMX Stockholm
ARP,Pmv Adaptive Risk Parity ETF,1.70B,24.75,Unknown,OMX Stockholm
ANNE.B,Annehem Fastigheter AB,1.70B,19.14,Unknown,OMX Stockholm
PAX,Patria Investments Limited,2148020736.0,73.20,Financial Services,OMX Stockholm
BICO,BICO Group AB (publ),1.69B,24.00,Unknown,OMX Stockholm
GENO,Genovis AB (publ.),1.68B,24.25,Unknown,OMX Stockholm
XSPRAY,Xspray Pharma AB (publ),1.67B,44.75,Unknown,OMX Stockholm
PCELL,PowerCell Sweden AB (publ),1.64B,28.30,Unknown,OMX Stockholm
RUG,RugVista Group AB (publ),1.62B,77.20,Unknown,OMX Stockholm
SALT.B,SaltX Technology Holding AB (publ),1.61B,8.87,Unknown,OMX Stockholm
VISC,Gruvaktiebolaget Viscaria,1.60B,15.18,Unknown,OMX Stockholm
DMYD.B,Diamyd Medical AB (publ),1.58B,11.30,Unknown,OMX Stockholm
BORG,Björn Borg AB (publ),1.57B,63.50,Unknown,OMX Stockholm
