ticker,name,market_cap,price,sector,market
BEIA.B,Beijer Alma AB (publ),15.61B,256.00,Unknown,OMX Stockholm
NOLA.B,Nolato AB (publ),15.35B,57.00,Unknown,OMX Stockholm
GOGLO,Golden Ocean Group Limited,15.24B,83.30,Unknown,OMX Stockholm
VIT.B,Vitec Software Group AB (publ),14.98B,381.60,Unknown,OMX Stockholm
GRNG,Gränges AB (publ),14.64B,136.90,Unknown,OMX Stockholm
ANOD.B,Addnode Group AB (publ),14.45B,108.20,Unknown,OMX Stockholm
NEWA.B,New Wave Group AB (publ),14.17B,107.80,Unknown,OMX Stockholm
CIBUS,Cibus Nordic Real Estate AB (publ),14.15B,171.45,Unknown,OMX Stockholm
NORION,Norion Bank AB (publ),14.01B,69.50,Unknown,OMX Stockholm
IVSO,Invisio AB (publ),13.91B,301.50,Unknown,OMX Stockholm
DYVOX,Dynavox Group AB (publ),12.96B,121.30,Unknown,OMX Stockholm
ENGCON.B,engcon AB (publ),12.58B,82.20,Unknown,OMX Stockholm
KAR,Karnov Group AB (publ),12.38B,115.60,Unknown,OMX Stockholm
SKIS.B,SkiStar AB (publ),12.13B,154.30,Unknown,OMX Stockholm
RUSTA,Rusta AB (publ),11.88B,77.65,Unknown,OMX Stockholm
RATO.A,Ratos AB (publ),11.87B,36.50,Unknown,OMX Stockholm
RATO.B,Ratos AB (publ),11.87B,35.32,Unknown,OMX Stockholm
CORE.A,Corem Property Group AB (publ),11.64B,5.22,Unknown,OMX Stockholm
CORE.B,Corem Property Group AB (publ),11.64B,4.752,Unknown,OMX Stockholm
MTG.A,Modern Times Group MTG AB,11.63B,100.00,Unknown,OMX Stockholm
MTG.B,Modern Times Group MTG AB,11.63B,98.40,Unknown,OMX Stockholm
YUBICO,Yubico AB,11.58B,137.35,Unknown,OMX Stockholm
APOTEA,Apotea AB (publ),11.51B,110.56,Unknown,OMX Stockholm
CORE.D,Corem Property Group AB (publ),11.49B,245.50,Unknown,OMX Stockholm
