ticker,name,sector,market_cap,market
007340.KS,DN오토모티브,기타,0,KOSPI
024900.KS,디와이덕양,기타,0,KOSPI
013570.KS,디와이,기타,0,KOSPI
210540.KS,디와이파워,기타,0,KOSPI
092780.KS,DYP,기타,0,KOSPI
015590.KS,DKME,기타,0,KOSPI
032350.KS,롯데관광개발,기타,0,KOSPI
089860.KS,롯데렌탈,기타,0,KOSPI
330590.KS,롯데리츠,기타,0,KOSPI
000400.KS,롯데손해보험,기타,0,KOSPI
023530.KS,롯데쇼핑,기타,0,KOSPI
020150.KS,롯데에너지머티리얼즈,기타,0,KOSPI
280360.KS,롯데웰푸드,기타,0,KOSPI
286940.KS,롯데이노베이트,기타,0,KOSPI
004000.KS,롯데정밀화학,기타,0,KOSPI
000499.KS,롯데지주우,기타,0,KOSPI
004990.KS,롯데지주,기타,0,KOSPI
005305.KS,롯데칠성우,기타,0,KOSPI
005300.KS,롯데칠성,기타,0,KOSPI
011170.KS,롯데케미칼,기타,0,KOSPI
071840.KS,롯데하이마트,기타,0,KOSPI
027740.KS,마니커,기타,0,KOSPI
357430.KS,마스턴프리미어리츠,기타,0,KOSPI
001080.KS,만호제강,기타,0,KOSPI
088980.KS,맥쿼리인프라,기타,0,KOSPI
138040.KS,메리츠금융지주,기타,0,KOSPI
090370.KS,메타랩스,기타,0,KOSPI
118000.KS,메타케어,기타,0,KOSPI
017180.KS,명문제약,기타,0,KOSPI
009900.KS,명신산업,기타,0,KOSPI
012690.KS,모나리자,기타,0,KOSPI
005360.KS,모나미,기타,0,KOSPI
070960.KS,모나용평,기타,0,KOSPI
009680.KS,모토닉,기타,0,KOSPI
009200.KS,무림페이퍼,기타,0,KOSPI
009580.KS,무림P&P,기타,0,KOSPI
033920.KS,무학,기타,0,KOSPI
008420.KS,문배철강,기타,0,KOSPI
025560.KS,미래산업,기타,0,KOSPI
007120.KS,미래아이앤지,기타,0,KOSPI
396690.KS,미래에셋글로벌리츠,기타,0,KOSPI
357250.KS,미래에셋맵스리츠,기타,0,KOSPI
094800.KS,맵스리얼티1,기타,0,KOSPI
085620.KS,미래에셋생명,기타,0,KOSPI
006805.KS,미래에셋증권우,기타,0,KOSPI
006800.KS,미래에셋증권,기타,0,KOSPI
081660.KS,미스토홀딩스,기타,0,KOSPI
002840.KS,미원상사,기타,0,KOSPI
268280.KS,미원에스씨,기타,0,KOSPI
107590.KS,미원홀딩스,기타,0,KOSPI
134380.KS,미원화학,기타,0,KOSPI
003650.KS,미창석유,기타,0,KOSPI
377740.KS,바이오노트,기타,0,KOSPI
003610.KS,방림,기타,0,KOSPI
035150.KS,백산,기타,0,KOSPI
002410.KS,범양건영,기타,0,KOSPI
007210.KS,벽산,기타,0,KOSPI
002760.KS,보락,기타,0,KOSPI
003850.KS,보령,기타,0,KOSPI
000890.KS,보해양조,기타,0,KOSPI
003000.KS,부광약품,기타,0,KOSPI
001275.KS,부국증권우,기타,0,KOSPI
001270.KS,부국증권,기타,0,KOSPI
026940.KS,부국철강,기타,0,KOSPI
011390.KS,부산산업,기타,0,KOSPI
005030.KS,부산주공,기타,0,KOSPI
002070.KS,비비안,기타,0,KOSPI
100220.KS,비상교육,기타,0,KOSPI
090460.KS,비에이치,기타,0,KOSPI
005180.KS,빙그레,기타,0,KOSPI
003960.KS,사조대림,기타,0,KOSPI
008040.KS,사조동아원,기타,0,KOSPI
007160.KS,사조산업,기타,0,KOSPI
014710.KS,사조씨푸드,기타,0,KOSPI
006090.KS,사조오양,기타,0,KOSPI
062040.KS,산일전기,기타,0,KOSPI
001470.KS,삼부토건,기타,0,KOSPI
028050.KS,삼성E&A,기타,0,KOSPI
448730.KS,삼성FN리츠,기타,0,KOSPI
006405.KS,삼성SDI우,기타,0,KOSPI
006400.KS,삼성SDI,기타,0,KOSPI
006660.KS,삼성공조,기타,0,KOSPI
002826.KS,삼성물산우B,기타,0,KOSPI
028260.KS,삼성물산,기타,0,KOSPI
207940.KS,삼성바이오로직스,기타,0,KOSPI
032830.KS,삼성생명,기타,0,KOSPI
018260.KS,삼성에스디에스,기타,0,KOSPI
009155.KS,삼성전기우,기타,0,KOSPI
009150.KS,삼성전기,기타,0,KOSPI
005935.KS,삼성전자우,기타,0,KOSPI
005930.KS,삼성전자,기타,0,KOSPI
001360.KS,삼성제약,기타,0,KOSPI
010140.KS,삼성중공업,기타,0,KOSPI
016360.KS,삼성증권,기타,0,KOSPI
068290.KS,삼성출판사,기타,0,KOSPI
029780.KS,삼성카드,기타,0,KOSPI
000815.KS,삼성화재우,기타,0,KOSPI
000810.KS,삼성화재,기타,0,KOSPI
006110.KS,삼아알미늄,기타,0,KOSPI
145995.KS,삼양사우,기타,0,KOSPI
145990.KS,삼양사,기타,0,KOSPI
003230.KS,삼양식품,기타,0,KOSPI
002170.KS,삼양통상,기타,0,KOSPI
272550.KS,삼양패키징,기타,0,KOSPI
000070.KS,삼양홀딩스,기타,0,KOSPI
002810.KS,삼영무역,기타,0,KOSPI
003720.KS,삼영,기타,0,KOSPI
005680.KS,삼영전자,기타,0,KOSPI
023000.KS,삼원강재,기타,0,KOSPI
004380.KS,삼익THK,기타,0,KOSPI
002450.KS,삼익악기,기타,0,KOSPI
004440.KS,삼일씨엔에스,기타,0,KOSPI
000520.KS,삼일제약,기타,0,KOSPI
009770.KS,삼정펄프,기타,0,KOSPI
005500.KS,삼진제약,기타,0,KOSPI
004690.KS,삼천리,기타,0,KOSPI
010960.KS,삼호개발,기타,0,KOSPI
004450.KS,삼화왕관,기타,0,KOSPI
009470.KS,삼화전기,기타,0,KOSPI
011230.KS,삼화전자,기타,0,KOSPI
001820.KS,삼화콘덴서,기타,0,KOSPI
000390.KS,삼화페인트,기타,0,KOSPI
001290.KS,상상인증권,기타,0,KOSPI
041650.KS,상신브레이크,기타,0,KOSPI
075180.KS,새론오토모티브,기타,0,KOSPI
007540.KS,샘표,기타,0,KOSPI
248170.KS,샘표식품,기타,0,KOSPI
007860.KS,서연,기타,0,KOSPI
200880.KS,서연이화,기타,0,KOSPI
017390.KS,서울가스,기타,0,KOSPI
031210.KS,서울보증보험,기타,0,KOSPI
004415.KS,서울식품우,기타,0,KOSPI
004410.KS,서울식품,기타,0,KOSPI
021050.KS,서원,기타,0,KOSPI
008490.KS,서흥,기타,0,KOSPI
007610.KS,선도전기,기타,0,KOSPI
002820.KS,SUN&L,기타,0,KOSPI
136490.KS,선진,기타,0,KOSPI
014915.KS,성문전자우,기타,0,KOSPI
014910.KS,성문전자,기타,0,KOSPI
004985.KS,성신양회우,기타,0,KOSPI
004980.KS,성신양회,기타,0,KOSPI
011300.KS,성안머티리얼스,기타,0,KOSPI
000180.KS,성창기업지주,기타,0,KOSPI
002420.KS,세기상사,기타,0,KOSPI
004365.KS,세방우,기타,0,KOSPI
004360.KS,세방,기타,0,KOSPI
004490.KS,세방전지,기타,0,KOSPI
001430.KS,세아베스틸지주,기타,0,KOSPI
306200.KS,세아제강,기타,0,KOSPI
003030.KS,세아제강지주,기타,0,KOSPI
019440.KS,세아특수강,기타,0,KOSPI
058650.KS,세아홀딩스,기타,0,KOSPI
013000.KS,세우글로벌,기타,0,KOSPI
091090.KS,세원이앤씨,기타,0,KOSPI
021820.KS,세원정공,기타,0,KOSPI
067830.KS,세이브존I&C,기타,0,KOSPI
075580.KS,세진중공업,기타,0,KOSPI
068270.KS,셀트리온,기타,0,KOSPI
033637.KS,솔루스첨단소재1우,기타,0,KOSPI
336370.KS,솔루스첨단소재,기타,0,KOSPI
248070.KS,솔루엠,기타,0,KOSPI
004430.KS,송원산업,기타,0,KOSPI
017550.KS,수산세보틱스,기타,0,KOSPI
126720.KS,수산인더스트리,기타,0,KOSPI
204210.KS,스타에스엠리츠,기타,0,KOSPI
026890.KS,스틱인베스트먼트,기타,0,KOSPI
134790.KS,시디즈,기타,0,KOSPI
000480.KS,CR홀딩스,기타,0,KOSPI
462870.KS,시프트업,기타,0,KOSPI
016590.KS,신대양제지,기타,0,KOSPI
029530.KS,신도리코,기타,0,KOSPI
004970.KS,신라교역,기타,0,KOSPI
011930.KS,신성이엔지,기타,0,KOSPI
005390.KS,신성통상,기타,0,KOSPI
004170.KS,신세계,기타,0,KOSPI
035510.KS,신세계 I&C,기타,0,KOSPI
031430.KS,신세계인터내셔날,기타,0,KOSPI
031440.KS,신세계푸드,기타,0,KOSPI
006880.KS,신송홀딩스,기타,0,KOSPI
005800.KS,신영와코루,기타,0,KOSPI
001720.KS,신영증권,기타,0,KOSPI
009270.KS,신원,기타,0,KOSPI
002700.KS,신일전자,기타,0,KOSPI
002870.KS,신풍,기타,0,KOSPI
019175.KS,신풍제약우,기타,0,KOSPI
019170.KS,신풍제약,기타,0,KOSPI
481850.KS,신한글로벌액티브리츠,기타,0,KOSPI
055550.KS,신한지주,기타,0,KOSPI
404990.KS,신한서부티엔디리츠,기타,0,KOSPI
293940.KS,신한알파리츠,기타,0,KOSPI
004080.KS,신흥,기타,0,KOSPI
102280.KS,쌍방울,기타,0,KOSPI
004770.KS,써니전자,기타,0,KOSPI
